Scientific Name,Family,English Common Name,Name (FI),Section,ID,Check,Count,Mazemap route,Cordinates,Aromatic,Crop,Edible,Endangered,Exotic,Flowering,Fragrant,Fruit-bearing,Historical,House plant,Medicinal,Native,Pollinator,Resilient,Dangerous,Seasonal,Striking,Unique,Keep it y/n,Aromaattinen,Viljelykasvi,Syötävä,Uhanalainen,Eksoottinen,Kuukiva,Tuoksuva,Hedelmöivä,Historiallinen,Huonekasvi,Lääkekasvi,Alkuperäinen,Pölyttäjä,Ääriolosuhteet,Vaarallinen,Kausikasvi,Näyttävä,Uniikki,
Pachypodium lamerei,,Madagascar palm,aavikkopaksujalka,Sukkulentit,,,1,,x -156.90  y -5.25,,,,,,,,,,,,,,,"The Madagascar palm is protected by long, sharp spines that can easily puncture skin. If damaged, it also releases a toxic milky sap that may irritate the skin and eyes and is poisonous if ingested by people or pets.",,"Pachypodium lamerei, commonly known as the Madagascar palm, is a succulent plant native to Madagascar. It has a tall, spiny trunk and a cluster of long, narrow leaves at the top. It is adapted to dry environments by storing water in its thick stem and using its spines for protection against herbivores.",,y,,,,,,,,,,,,,,,"Madagaskarin palmu on suojattu pitkillä, terävillä piikeillä, jotka voivat helposti pistää ihoa. Jos sitä vahingoittuu, se päästää myös myrkyllistä, valkoista nestettä, joka voi ärsyttää ihoa ja silmiä ja on myrkyllistä, jos sitä syödään ihmisten tai eläinten kanssa.",,"Pachypodium lamerei, jota kutsutaan usein Madagaskarin palmuksi, on kasvi, joka kasvaa Madagaskarilla. Se on kookas, piikkikasvuinen runko ja kasa pitkiä, kapeita lehtiä yläpuolella. Se on sopeutunut kuivuuteen tallaamalla vettä paksussa rungossa ja käyttäen piikejä suojaamassa kasveja herbivooreilta.",,
Parthenocissus henryana,,Chinese Virginia-creeper,Kiinanvilliviini,G-HE 	LAUHKEA,18326,G-HE 	LAUHKEA,1,,x -166.55  y -10.18,,,,,,,,,,,,,,,,,"Parthenocissus henryana is a climbing vine native to China, known for its highly decorative foliage. Its leaves are green on the upper side and often flushed with deep red or purple underneath, creating a striking two-tone effect, especially when the wind moves them. The leaves also feature silver-white veining and turn vivid red in autumn. The plant climbs using tendrils with adhesive pads, allowing it to attach to walls and surfaces.",,y,,,,,,,,,,,,,,,,,"Parthenocissus henryana on kiipeävä kasvi, joka on kotoisin Kiinasta, tunnettu korkeasta koristevaluutensa vuoksi. Sen lehdet ovat vihreitä yläpuolelta ja usein punertavia tai purppuranvärinen alapuolelta, luodakseen vaikutelman kaksivärisyydestä, erityisesti kun tuuli liikuttaa niitä. Lehdet myös sisältävät hopeanvalkoista risteilyä ja muuttuvat kirkkaan punertaviksi syksyllä. Kasvi kiipeää käyttäen kiinnittyviä piikejä, jotka mahdollistavat sen kiinnittymisen seinille ja pintoille.",,
Philadelphus schrenkii,,Schrenk’s mock-orange,siperianjasmike,R-O 	ARBORETUM,26228,R-O 	ARBORETUM,2,,,,,,,,"Philadelphus schrenkii produces abundant white, four-petaled flowers in early to midsummer. The blooms are often clustered along the branches and create a strong seasonal display.","Philadelphus schrenkii is strongly scented during flowering, with a sweet, orange-blossom-like fragrance that becomes more noticeable in warm weather and evenings.",,,,,,,,,,,,y,,,,,,"Philadelphus schrenkii tuottaa runsaasti valkoisia, nelilapaisia kukkia varhais- ja kesäisin. Kukat ovat usein ryhmittäin oksilla ja luovat voimakkaan kausikuvan.","Philadelphus schrenkii on voimakkaasti tuoksuva kukkien aikaan, jolloin se tuottaa makean, oranssivihreän tuoksun, joka tuntuu enemmän lämpötilan nousun ja illan aikana.",,,,,,,,,,,,
Philodendron melanochrysum,,No common name just refered to as melanochrysum,No common name just refered to as melanochrysum,G-HA 	TROOPPINEN HUONE,12480,G-HA 	TROOPPINEN HUONE,1,,,,,,,,,,,,"Philodendron melanochrysum is a tropical climbing plant famous for its large, velvety dark-green leaves highlighted by striking golden veins. Native to the rainforests of Colombia, it is highly prized by plant collectors and can develop leaves over a meter long when mature.",,,,,,,,,y,,,,,,,,,,"Philodendron melanochrysum on trooppinen kiipeävä kasvi, joka tunnetaan suurista, pehmeistä tummanvihreistä lehdistä, jotka koristuvat vaalean kultaisilla risteilyillä. Kasvi on kotoisin Kolumbian sademetsistä ja on korkeasti arvostettu kasvitieteilijöiden keskuudessa. Se voi kehittyä pitkiä lehtiä, jopa yli metrin mittaisia, kun se on täysikasvuinen.",,,,,,,,,
Phoenix dactylifera,,Date palm,Välimerentaateli,First room of Julia,36842,G-HA 	TROOPPINEN HUONE,1,,x -160.81  y 0.88,,,"Phoenix dactylifera produces nutritious dates that are eaten fresh or dried. Rich in natural sugars and fibre, they are widely used as a snack and in desserts, baking, and traditional cuisine.",,,,,"Phoenix dactylifera, native to the Middle East and North Africa, is cultivated for its clusters of sweet dates. The plum-sized fruits ripen from yellow to reddish-brown and become sweeter as they naturally dry.","Phoenix dactylifera is one of the world's oldest cultivated fruit plants. It was likely grown in Babylon over 8,000 years ago, with confirmed cultivation in ancient Egypt about 5,000 years ago. For thousands of years, dates have been a staple food across the Middle East and North Africa, valued for their long storage life and high energy content.",,,,,,,,,,y,,,"Phoenix dactylifera tuottaa ravitsevaa hedelmää, jota syödään raakana tai kuivattuna. Se on rikkaassa luonnollisessa sokerissa ja kuidussa, ja sitä käytetään laajasti ruokana ja makeutusaineena, leivänvalmistuksessa ja perinteisessä ruokakulttuurissa.",,,,,"Phoenix dactylifera, joka on kotoisin Lähi-idästä ja Pohjois-Afrikasta, kasvatetaan hedelmänsä kerroksista. Hedelmät ovat marjapuun kokoluokkaa ja kypsyvät keltaisesta punertavaksi ja muuttuvat makeammaksi kuivuessaan luonnollisesti.","Phoenix dactylifera on yksi maailman vanhimmista kasvatettavista hedelmäkasveista. Se on todennäköisesti kasvatettu Babylonissa noin 8 000 vuotta sitten, ja sen kasvatus on vahvistettu myös muinaisessa Egyptissä noin 5 000 vuotta sitten. Tuhat vuotta kestäneen ajan ajan hedelmät ovat olleet perusruokaa Lähi-idässä ja Pohjois-Afrikassa, arvostettuja pitkän säilyvyytensä ja korkean energian sisällönsä vuoksi.",,,,,,,,,,
Picea abies f. pendula,,Weeping spruce,surukuusi,Behind annuals,,,1,yes,,,,,,,,,,,,,"Picea abies f. pendula is native to Finland as a form of the Norway spruce. It occurs in northern and central European forests, where the species is a dominant conifer in cold, boreal ecosystems.",,"Picea abies f. pendula is extremely hardy and well adapted to cold climates, including Finnish winters. It tolerates snow, frost, and poor soils, making it a long-lived and reliable conifer in northern environments",,,"Picea abies f. pendula has a distinctive weeping growth habit, with long hanging branches that cascade downward instead of growing upright. This unusual form makes it a strong ornamental feature in parks and large gardens.",,y,,,,,,,,,,,,"Picea abies f. pendula on kotoisin Suomesta, joka on Norjan mäntyjen muoto. Se esiintyy Pohjois- ja Keski-Euroopan metsissä, missä laji on kylmien, boreaisten ekosysteemien dominoiva mänty.",,"Picea abies f. pendula on erittäin kestävä ja sopeutunut kylmään ilmastoon, mukaan lukien suomalaiset talvet. Se kestää lumetta, kylmää, ja huonoa maaperää, mikä tekee siitä pitkäikäisen ja luotettavan mänty Poh",,,"Picea abies f. pendula on tunnetaan erikoisesta, alasuuntaisesta kasvutavastaan, pitkillä, alasuuntaisilla oksilla, jotka laskeutuvat alas sijaan kasvavan pystyyn.",,
Pinguicula vulgaris,,Common butterwort,Siniyökönlehti,K-10 	LÃ„HDEPURO,23149,K-10 	LÃ„HDEPURO,1,,,,,,,,,,,,,,,,"Pinguicula vulgaris is resilient, thriving in cold, wet habitats such as bogs and fens. It survives in nutrient-poor, constantly moist peatlands by trapping insects, allowing it to grow where many plants cannot compete.",,,,"Pinguicula vulgaris is a carnivorous plant that uses sticky, glandular leaves to trap and digest small insects. This adaptation helps it survive in nutrient-poor bog and wetland environments.",y,,,,,,,,,,,,,,"Pinguicula vulgaris on kestävä, ja se elää kylmien, kosteiden elinoloihin kuuluvissa soissa ja suokasvustoissa. Se selviää ravinnepuutteisissa, jatkuvasti kosteissa turpeillaan kasvavilla alueilla saalistamalla hyönteisiä, mikä mahdollistaa kasvun paikoissa, joissa monet kasvit eivät voi kilpailla.",,,,"Pinguicula vulgaris on kasvissyöjäkasvi, joka käyttää kiinteitä, kudostuotteita tuottavia lehtiä hyönteisten pyytämiseen ja niiden hajottamiseen. Tämä sopeutuminen auttaa sitä selviytymään ravinnepuutteisissa soissa ja kosteissa metsämaastoissa.",
Pinus cembra,,Swiss stone pine,Sembramänty,H-O 	HYÃ–TYKASVI OSASTO,16431,H-O 	HYÃ–TYKASVI OSASTO,1,,,,,,,,,,,,,,,,"Pinus cembra is highly resilient, able to survive extreme alpine conditions including severe frost, heavy snow, strong winds, and nutrient-poor rocky soils. It grows slowly but remains stable and long-lived in harsh environments.",,,,,y,,,,,,,,,,,,,,"Pinus cembra on hyvin kestävä, ja se selviää äärimmäisillä alppiympäristöissä, mukaan lukien paksu jää, raskas lumi, voimakkaat tuulet ja ravinnepuutteiset kivisemat. Se kasvaa hitaasti, mutta pysyy vakaina ja pitkäikäisinä hankalissa ympäristöissä.",,,,,
Piper nigrum,Piperaceae,Black pepper,Pippuri,G-HA 	TROOPPINEN HUONE,1781,G-HA 	TROOPPINEN HUONE,1,,x -141.18  y 5.69,,"Piper nigrum is a tropical climbing vine cultivated for its fruit, which is processed into black, white, and green pepper. It is one of the world’s most widely used spices, valued for its pungent, spicy flavour in cooking across many cultures.",,,"Piper nigrum is native to the tropical regions of South India and is often considered an exotic spice plant in temperate climates. Its cultivation requires warm, humid conditions and support structures for climbing growth, making it distinct from many common temperate crops.",,,,"Piper nigrum has been traded for thousands of years and was once one of the most valuable spices in the world. It played a major role in ancient trade routes between Asia, the Middle East, and Europe and was a key driver of early global commerce.",,,,,,,,,,y,,"Piper nigrum on trooppinen kiipeävä ruoho, jota kasvatetaan hedelmänsä vuoksi, joka jalostetaan mustaksi, valkoiseksi ja vihreäksi pippuriksi. Se on yksi maailman laajasti käytetyimmistä mausteista, ja se arvostetaan paksun, pippurisen makuistaan keittokäytössä monien kulttuurien keskuudessa.",,,"Piper nigrum on kotoisin trooppisista alueista Etelä-Intiasta, ja se on usein pidetty eksotiisena maustekasvina lauhkeissa ilmastoissa. Sen kasvatus vaatii lämpimiä, kosteita olosuhteita ja kiipeilykasvun tukirakenteita, mikä tekee siitä poikkeavan monista yleisistä lauhkeiden ilmaston viljelykasveista.",,,,"Piper nigrum on ollut kaupankäynnin kohteena tuhansia vuosia ja oli kerran yksi maailman arvokkaimmista mausteista. Se pelasi keskeinen rooli vanhoissa kauppareiteillä Aasiassa, Lähi-idässä ja Euroopassa ja oli yksi varhaisista globaali kaupankäynnin ajajista.",,,,,,,,,,
Prunus cerasus ‘Latvian Matala’,,Sour cherry,Hapankirsikka,Hyötykasvit (marjapensaat),,,1,,,,Prunus cerasus ‘Latvian Matala’ is a sour cherry fruit crop grown in temperate regions. It is cultivated in gardens and orchards for its reliable production of tart cherries suited for cooking and processing.,"Prunus cerasus ‘Latvian Matala’ produces edible sour cherries that are too tart for most people to eat fresh but excellent for cooking. The fruits are commonly used in pies, jams, juices, and desserts where their acidity is balanced with sugar.",,,Prunus cerasus ‘Latvian Matala’ produces clusters of white blossoms in spring before the leaves are fully developed. The flowers create a strong seasonal display and develop into fruit during the summer months.,,Prunus cerasus ‘Latvian Matala’ is a fruit-bearing cherry tree that produces medium-sized sour cherries in summer. The fruits grow in clusters on short stems and ripen to a deep red colour when ready for harvest.,,,,,,"Prunus cerasus ‘Latvian Matala’ is a hardy sour cherry cultivar well adapted to cooler climates. It tolerates frost and performs reliably in northern growing conditions, making it suitable for home gardens in cold regions.",,yes,,,y,,"Prunus cerasus 'Latvian Matala' on kirsikkaa tuottava hedelmäkasvi lauhkeissa ilmastoissa. Se kasvatetaan puutarhoissa ja puutarhoissa sen luotettavan tuotannon vuoksi, joka on sopiva keittokäyttöön ja jalostukseen.","Prunus cerasus 'Latvian Matala' tuottaa syötäviä, mutta liian hapan hedelmää, jota ei voi syödä suoraan, mutta jota on hyvä käyttää keittokäytössä. Hedelmät ovat yleensä käytettävissä pihviin, marmeladiin, juomoihin ja makeisiin ruokiin, joissa niiden happamuus tasataan sokerin avulla.",,,Prunus cerasus 'Latvian Matala' tuottaa keväällä lehtien kehittyessä valkoisia kukkia ryhminä. Kukat luovat voimakkaan kausikuvan ja kehittyvät hedelmäksi kesäkuussa.,,"Prunus cerasus 'Latvian Matala' on hedelmätuottava kirsikka, joka tuottaa kesäisin keskikokoisia hapan hedelmää. Hedelmät kasvavat ryhminä lyhyillä varresta ja kypsyvät syvän punertavaksi väriksi, kun ne ovat valmiita keräämistä.",,,,,,"Prunus cerasus 'Latvian Matala' on kestävä hapan kirsikka, joka on sopeutunut kylmille ilmastoille. Se kestää pakkasta ja toimii luotettavasti pohjoisessa kasvatusolosuhteissa, mikä tekee siitä sopivan kotipuutarhoihin kylmässä alueella.",,Kyllä,,,
Prunus domestica 'sinikka',,Plum tree,Luumupuu 'sinikka',Hyötykasvit,,,1,,,,,"Prunus domestica ‘Sinikka’ produces sweet, juicy plums that are enjoyed fresh or used in jams, desserts, baking, and preserves. The fruits have a rich flavour and are harvested in late summer, making them a versatile addition to many recipes.",,,Prunus domestica ‘Sinikka’ blooms in spring with masses of delicate white flowers that cover the branches before the leaves are fully developed. The abundant blossoms create an attractive display and mark the beginning of the fruiting season.,,"Prunus domestica ‘Sinikka’ produces plenty of blue-purple plums that ripen in late summer. The fruits grow along the branches and are picked when fully ripe. They are known for their sweet, juicy flesh and are suitable for both fresh eating and cooking.","Prunus domestica has been cultivated for more than 2,000 years and is thought to have originated from natural hybridisation between wild plum species in the Caucasus and surrounding regions. It spread across Europe through the Greeks and Romans, becoming a valued orchard fruit throughout the continent. Modern cultivars such as ‘Sinikka’ were developed to combine excellent fruit quality with improved winter hardiness, allowing plum cultivation to expand into colder northern regions such as Finland.",,,,,,,yes,,,y,,,"Prunus domestica 'Sinikka' tuottaa makeita, juurettomia omenia, jotka syödään suoraan tai käytetään marmeladiin, makeisiin ruokiin, leivontaan ja säilöntään. Hedelmät ovat rikkaassa makuissa ja niitä kerät",,,"Prunus domestica ‘Sinikka’ kukkii keväällä valkoisten, ohuiden kukkien määrällä, jotka peittävät oksat ennen kuin lehdet ovat täysin kehittyneet. Runsas kukinta luonnostaa kauniin näytön ja merkitsee hedelmänkasvukauden alkua.",,"Prunus domestica ‘Sinikka’ tuottaa runsaasti sinipunertavia omenia, jotka kypsyvät myöhäisessä kesässä. Hedelmät kasvavat oksilla ja niitä poimitaan täysin kypsänä. Niiden tunnusmerkkinä on makea, hedelmäinen sisus, ja niitä voidaan käyttää sekä raakana syönninä että keittämisenä.","Prunus domestica on ollut viljelty yli 2 000 vuotta ja on arveltu alkaneen luonnollisesta risteytyksestä villasimpukoiden välillä Kaukasuksen ja ympäröivien alueiden luonnossa. Se levisi Eurooppaan kreikkalaisten ja roomalaisten välityksellä ja muodostui arvostetuksi puutarhakasviksi koko manterällä. Nykyiset muunnokset, kuten ‘Sinikka’, kehitettiin yhdistämään erinomaisen hedelmänlaadun parantuneen talvimyönteisyyden kanssa, mikä mahdollisti omenanviljelyn laajenemisen kylmempään pohjoiseen Suomeen.",,,,,,,Kyllä,,,
Prunus persica var. Nucipersica,,Nectarine,nektariini,G-HE 	LAUHKEA,18104,G-HE 	LAUHKEA,1,,x -162.93  y -9.45,,,"Prunus persica var. nucipersica produces fruits that are eaten fresh or used in desserts, jams, juices, and baking. They are valued for their sweet flavour, aromatic flesh, and high vitamin content.",,,,,"Prunus persica var. nucipersica, native to China, is cultivated for its smooth-skinned fruits that ripen in late summer. Nectarines are sweet, juicy, and closely related to peaches, differing mainly by the absence of fuzzy skin.","Although often associated with the Mediterranean, nectarines originated alongside peaches in China, where peaches have been cultivated for over 4,000 years. The smooth skin of the nectarine is caused by a naturally occurring genetic mutation rather than hybridisation. Over centuries, growers selected and propagated this trait, leading to the development of the many nectarine cultivars grown around the world today.",,,,,,,,,,y,,,"Prunus persica var. nucipersica tuottaa hedelmiä, jotka syödään raakana tai käytetään makeutusaineina, marmeladeina, juomateina ja leivonnaisissa. Niitä arvioidaan hedelmällisyydestään, aromatisesta sisustaan ja korkeasta vitamiinipitoisuudesta.",,,,,"Prunus persica var. nucipersica, joka on kotoisin Kiinasta, viljellään hedelmästään, joka kypsyvät myöhäisessä kesässä. Nektariinit ovat makeita, hedelmäisiä ja lähellä pehmeäpähkinää, eroavat pääasiassa pehmeydestään.","Vaikka nektariinit yhdistetään usein Välimeren kanssa, ne ovat alkaneet kasvaa Kiinassa pehmeäpähkinän kanssa, joka on ollut viljelty yli 4 000 vuotta. Nektariinin pehmeä iho aiheutuu luonnollisesta geenimuutoksesta eikä risteytyksestä. Vuosisatojen aikana viljelijät valitsivat ja levittivät tämän ominaisuuden, mikä johti monien nykyisten nektariini- muunnosten kehittymiseen ympäri maailmaa.",,,,,,,,,,
Psidium guajava,Myrtaceae,Guava,Guava,G-HA 	TROOPPINEN HUONE,5392,G-HA 	TROOPPINEN HUONE,1,,x -136.34  y 5.56,,"Psidium guajava, commonly known as guava, is a tropical fruit crop grown in warm regions worldwide. It is cultivated in orchards and home gardens for its reliable fruit production in subtropical and tropical climates.","Psidium guajava produces edible fruits that are eaten fresh or processed into juices, jams, desserts, and preserves. The fruit is valued for its sweet-tart flavour and high vitamin C content in many culinary uses.",,Psidium guajava is considered an exotic fruit tree outside its native range in Central and South America. It has been widely introduced to tropical and subtropical regions where it is now an important cultivated fruit crop.,,,Psidium guajava is a fruit-bearing tree that produces round to pear-shaped fruits after flowering. The fruits develop on woody branches and are harvested when ripe for fresh consumption or food processing.,"Psidium guajava has been cultivated for centuries by Indigenous peoples of the Americas. After European exploration, it spread throughout the tropics and is now grown widely in Asia, Africa, and the Pacific, where it has become an important commercial and home-garden fruit tree.",,,,,,,,,,y,,"Psidium guajava, joka tunnetaan yleisesti guavaksi, on trooppinen hedelmäkasvi, joka kasvaa lämpimissä alueissa ympäri maailmaa. Se viljellään puutarhoissa ja kotiruokakasvatuksessa sen luotettavan hedelmän tuotannon vuoksi trooppisissa ja subtropiisissa ilmastoissa.","Psidium guajava tuottaa syötäviä hedelmiä, jotka syödään raakana tai käytetään juomateina, marmeladeina, makeutusaineina ja säilykkeinä. Hedelmä arvioidaan hedelmällisyydestään, makeutuneesta makuistaan ja korkeasta vitamiini C -pitoisuudesta monissa ruokailuissa.",,"Psidium guajava on katsottu eksotiiseksi hedelmäpensäksi ulkomailla sen alkuperäisellä alueella Keski- ja Etelä-Amerikassa. Se on levinnyt laajasti trooppisiin ja subtropiisiin alueisiin, missä se on nykyisin tärkeä hedelmäkasvikasvi.",,,"Psidium guajava on hedelmäkasvi, joka tuottaa pyöreitä tai päärynänmuotoisia hedelmiä kukinnan jälkeen. Hedelmät kehittyvät puun puolipuunoksilla ja niitä poimitaan kypsänä raakana syönninä tai ruoanvalmistuksessa.",Psidium guajava on ollut viljelty vuosisatoja Amerikan alkuperäiskansojen keskuudessa. Eurooppalaisten tutkimusten jälkeen se levisi trooppisiin alueisiin ja on nykyään kasvatt,,,,,,,,,,
Pyracantha coccinea,,scarlet firethorn,välimerentulimarja,G-HD 	TALVISAT. L. VÃ„LIMEREN ILMASTOALUE,48800,G-HD 	TALVISAT. L. VÃ„LIMEREN ILMASTOALUE,1,,x -156.54  y 0.27,,,,,,"Pyracantha coccinea, native to southern Europe and western Asia, blooms in late spring with masses of small white flowers that cover the branches. The flowers are followed by colourful berries later in the growing season.",,Pyracantha coccinea produces dense clusters of bright red to orange berries that remain on the branches well into autumn and winter. The fruits are an important food source for many birds during the colder months.,,,,,,,"Pyracantha coccinea has long, sharp thorns that provide effective protection but can easily cause painful scratches. Its berries are not considered poisonous but are bitter and may cause stomach upset if eaten in large amounts.",,,,y,,,,,,"Pyracantha coccinea on kotoisin etelä-Euroopasta ja länsi-Aasiasta, kukkii myöhäisessä keväällä valkoisten pienien kukkien massoineen oksilla. Kukat seuraavat myöhemmin kasvukaudella värikkäitä marjoja.",,"Pyracantha coccinea tuottaa tiheitä, kirkkaan punertavan tai oranssin värinen hedelmäpölyjä, jotka pysyvät oksilla hyvin myös syksyllä ja talvella. Hedelmät ovat tärkeä ravinnonlähde monille lintuille kylmien kuukausien aikana.",,,,,,,"Pyracantha coccinea on pitkiä, teräviä piikkejä, jotka tarjoavat tehokkaan suojan, mutta voivat helposti aiheuttaa kipua aiheuttavia pistemärkiä. Hedelmiä ei pidetä myrkyllisinä, mutta ne ovat mauttomia ja voivat aiheuttaa vatsakipua suurella määrällä.",,,,
Pyrus communis,,pear,tarhapäärynä,Hyötykasvit,,,1,,,,Pyrus communis ‘Lada’ is an early-ripening European pear cultivar grown as a fruit crop. It is cultivated in orchards and home gardens for its reliable yields and adaptability to temperate climates across Europe.,"Pyrus communis ‘Lada’ produces sweet, juicy pears that are eaten fresh or used in cooking, baking, and preserving. The fruits are valued for their early ripening and pleasant texture in a wide range of culinary uses.",,,,,Pyrus communis ‘Lada’ is a fruit-bearing tree that produces pears after flowering and pollination. It develops seasonal crops of edible fruit that ripen early compared to many other European pear varieties.,,,,,,"Pyrus communis 'Lada' is valued for its excellent cold hardiness and dependable productivity. It is well suited to northern climates, where it can tolerate harsh winters while producing consistent crops.",,"Pyrus communis 'Lada' flowers in spring and produces fruit that ripens in late summer, making it one of the earlier pear cultivars to be harvested. Its blossoms also provide an early source of nectar and pollen for pollinating insects.",,,y,,"Pyrus communis 'Lada' on varhaisesta kypsyvää eurooppalaisen omenan lajike, jota kasvatetaan hedelmänviljelyssä. Se kasvatetaan puutarhoissa ja kotikasvatuksessa luotettavista tuotoksistaan ja sopeutuvuudestaan lämpimään ilmastoon Euroopassa.","Pyrus communis 'Lada' tuottaa makeita, juureksia, joita syödään raakana tai käytetään keittämiseen, leivontaan ja säilytykseen. Hedelmät arvostetaan varhaisesta kypsyvyydestään ja mukavasta tekstuuristaan laajassa ruokailussa.",,,,,"Pyrus communis 'Lada' on hedelmällinen puu, joka tuottaa omenia kukinnan ja siitepölyn jälkeen. Se kehittää kausittaisia hedelmäviljelmiä, jotka kypsyvät varhain verrattuna moniin muuhun eurooppalaiseen omenan lajiin.",,,,,,"Pyrus communis 'Lada' on arvostettu kylmäkestoisuudestaan ja luotettavuudestaan. Se on hyvin soveltuva pohjoisille ilmastoihin, joissa se kestää ankaria talvia tuottamalla säännöllisiä viljelmiä.",,"Pyrus communis 'Lada' kukkii keväällä ja tuottaa hedelmiä, jotka kypsyvät myöhään kesällä, tehdäkseen siitä yhden varhaisimmista omenan lajikeista, jotka saadaan viljeltäväksi. Kukkien myös tarjoaa varhaisen nautinnon siitepölylle ja nektarille siitepölyttäjille.",,,
Rheum rhabarbarum,,garden rhubarb,tarharaparperi,H-3 	VIHANNEKSET,1933,H-3 	VIHANNEKSET,1,,,,"Rheum rhabarbarum, commonly known as garden rhubarb, is a perennial vegetable crop grown in temperate climates. It is cultivated for its thick edible leaf stalks and is a long-lived garden plant that can produce harvests for many years.","Rheum rhabarbarum produces edible leaf stalks that are harvested in spring and early summer. The stalks have a strong sour flavour and are commonly used in pies, jams, compotes, and desserts. The leaves are not edible.",,,,,,,,,,,,,"Rheum rhabarbarum is a seasonal plant that produces its best edible stalks in spring and early summer. Growth slows later in the year, and harvesting is typically limited to avoid weakening the plant.",,,y,,"Rheum rhabarbarum, jota kutsutaan yleisesti puutarhaköynnöksi, on vuosittainen kasvikunta, jota kasvatetaan lämpimissä ilmastoissa. Se kasvatetaan sen paksuista syötäviä lehtivarsiensa ja on pitkäikäinen puutarhakasvi, joka voi tuottaa viljelmiä monien vuosien ajan.","Rheum rhabarbarum tuottaa syötäviä lehtivarsia, jotka kerätään keväällä ja alkukesällä. Lehtivarsien on vahvaa, happamaa maku ja ne käytetään yleisesti pihviin, marmeladiin, kompotteihin ja makeisiin ruokiin. Lehdet eivät ole syötäviä.",,,,,,,,,,,,,"Rheum rhabarbarum on kausikasvi, joka tuottaa parhaat syötävät lehtivarsinsa keväällä ja alkukesällä. Kasvun hidastuu myöhemmin vuodessa, ja viljely on yleensä rajoitettua, jotta kasvi ei heikennä.",,,
Ribes nigrum,,Blackcurrent ,Mustaherukka ,K-8 	TERVALEPPÃ„KORPI,1945,K-8 	TERVALEPPÃ„KORPI,1,,,"Blackcurrant leaves release a strong, distinctive aroma when crushed, often described as green and slightly musky. The scent is recognizable in gardens and is sometimes used to flavor herbal teas.",,"The berries of blackcurrant are the main edible part people eat and are widely used in jams, juices, and desserts due to their strong, tangy flavor and deep aroma. The leaves are also used for herbal teas.",,,,,,,,"Blackcurrants are rich in anthocyanins, flavonoids, and vitamin C. These bioactive compounds have been extensively studied for their antioxidant effects and their well-documented benefits in human nutrition.","Blackcurrant is native to Finland and much of Northern Europe, naturally occurring in moist forests, stream edges, and shaded woodland areas where the soil stays consistently damp and nutrient-rich.",,,,,,,y,"Mustikka lehtien rikkoutuessa vapauttaa voimakasta, erottuvaa tuoksua, jota kuvataan vihreäksi ja hieman metsäisen makuiseksi. Tuoksu on tunnistettavissa puutarhoissa ja joskus käytetään sitä maustamaan herbaalitee.",,"Mustikka hedelmät ovat pääosin syötäviä osia, joita syödään ja niitä käytetään laajasti marmeladiin, juomoihin ja makeisiin ruokiin heidän vahvasta, happamasta makuistaan ja syvää tuoksua. Lehdet käytetään myös herbaalitee.",,,,,,,,"Mustikka on rikas antosyanineihin, flavonoihin ja vitamiini C:hen. Näillä biologisilla aineilla on ollut laajasti tutkimuksessa niiden antioxiintarpeiden ja hyödykkeiden vuoksi ihmisen ravitsemuksessa.","Mustikka on kotoisin Suomesta ja suurimmasta osasta Pohjois-Eurooppaa, ja se esiintyy luonnostaan kosteissa metsissä, purojen rannoilla ja varjossa kasvavilla metsäalueilla, joissa maaperä pysyy konsistenssiltään kosteana ja rikkaana.",,,,,,,
Ribes uva-crispa,,Gooseberry,Karviainen,S-O 	SYSTEMAATTINEN OSASTO,25528,S-O 	SYSTEMAATTINEN OSASTO,1,,,,,"Ribes uva-crispa produces edible berries that range from tart to sweet depending on ripeness. They are eaten fresh or used in jams, pies, desserts, and sauces, where their sharp flavour adds a distinctive taste.",,,,,"Ribes uva-crispa is a fruit-bearing shrub that produces round, translucent berries in summer. The fruits grow singly or in small clusters along the stems and ripen from green to yellow, red, or purple depending on the variety.",,,,,,"Ribes uva-crispa is a hardy shrub that tolerates cold winters, poor soils, and challenging growing conditions. It is long-lived and reliable, making it a popular choice for low-maintenance fruit production in cooler climates.",,,,,y,,,"Ribes uva-crispa tuottaa syötäviä marjoja, jotka vaihtelevat suolaisesta makeaan makuun riippuen niiden valmistumisesta. Niitä syödään suoraan tai käytetään marjoissa, pihveissä, makeisissa ja sahausaineissa, joissa niiden kova maku antaa erityinen makua.",,,,,"Ribes uva-crispa on marjatuottava pensas, joka tuottaa kesäisin keltaisia, punaisia tai violettejä marjoja. Marjojen kasvupaikat ovat yksittäisiä tai pieniä ryhmiä oksilla, ja ne kypsyvät vihreistä keltaisiin, punaisiin tai violetteihin riippuen lajikkeesta.",,,,,,"Ribes uva-crispa on kestävä pensas, joka kestää kylmät talvet, huonot maaperät ja haasteelliset kasvupaikat. Se on pitkäikäinen ja luotettava, mikä tekee siitä suositun valinnan vähäpäästöisessä marjametsästykseen kylmien ilmaston alueilla.",,,,,
